resume_text,label
"Python developer with 2 years experience in software company and skills in Django SQL",Real
"Java developer with internship experience and knowledge of Spring Boot",Real
"Frontend developer skilled in HTML CSS JavaScript React with project experience",Real
"Data analyst with Python Pandas Excel and machine learning knowledge",Real
"Software engineer working at Google for 5 years with valid education details",Real
"20 years software experience at age 21 with 100 programming languages",Fake
"Expert in all technologies without degree and no work history",Fake
"CEO of multiple companies at age 18 with 50 years experience",Fake
"Master in every programming language and worked 30 years without details",Fake
"Experience mentioned but company and project information missing",Fake
